timestamp,attentionct_unfiltered,au01ct_linear_causal,au02ct_nonlinear_causal,au04ct_nonlinear_causal,au09ct_linear_causal,au10ct_linear_causal,au15ct_linear_causal,au17ct_nonlinear_causal,au18ct_linear_causal,au24ct_linear_causal,au25ct_nonlinear_causal,au28ct_linear_causal,eye_closurect_nonlinear_causal,smilect_nonlinear_causal,smirkct_nonlinear_causal,joyct_emotion_nonlinear_causal,disgustct_emotion_nonlinear_causal,sadnessct_emotion_nonlinear_causal,angerct_emotion_nonlinear_causal,surprisect_emotion_nonlinear_causal,contemptct_emotion_nonlinear_causal,fearct_emotion_nonlinear_causal,valencect_nonlinear_causal,expressivenessct_nonlinear_causal,Entropy,HeadAngleLeftRight,HeadAngleRoll,HeadAngleUpDown,HighFreqPower,InterOcularDistance,MeanFaceLuminance,MeanFaceLuminanceDiffLR,VarianceFaceLuminance
0,97.6860657,0.142029077,2.46009755,0.000129857,0.006399015,1.46E-05,0.000683306,0.240121007,0.034222771,0.042253163,0.013365367,0.002780749,0.000342507,25.2432442,0.085512348,0.104922675,0.440079629,0.004072459,0.00076427,0.218000337,0.029326074,0.001075421,25.0030365,2.82864189,2.15043736,3.28595996,-2.22724414,9.43276978,188.315353,210.168564,149.084641,28.2328568,2438.31982
71.4285736,98.4423141,0.188369632,3.76418328,0.000127232,0.001669845,1.35E-06,0.000907707,0.265385151,0.009049563,0.028673736,0.011080561,0.001261331,0.000255966,16.5919018,0.120789714,0.024859745,0.432371616,0.007120806,0.001258382,0.232632339,0.056527223,0.001884202,16.4804401,0.849441171,2.16515756,1.26032233,-5.5065136,5.18586922,188.458618,214.388733,146.647415,29.31604,2638.27515
142.857147,98.5422592,0.264644951,3.94445229,0.000112398,0.001175325,8.13E-07,0.000804488,0.376849085,0.008079113,0.031918868,0.012000203,0.001577136,0.000138553,22.6493282,0.113207534,0.073927239,0.430104047,0.004808413,0.000849401,0.234740227,0.036625806,0.001335361,22.5783138,2.14898014,2.1630652,0.891119957,-6.72036648,4.8348875,197.200714,214.081146,147.309006,29.3035393,2601.24902
214.285721,98.6839905,0.341519654,3.74803042,0.000121579,0.0008788,6.74E-07,0.001036623,0.52052027,0.006133308,0.027410448,0.013324246,0.001700291,0.000364982,21.6922798,0.116736218,0.056369923,0.429205835,0.005067746,0.000901792,0.232465282,0.038411178,0.001383317,21.6378536,1.72444868,2.17178154,-0.065200806,-6.36765718,4.55331898,192.691788,215.903793,146.442047,29.6119823,2660.96851
285.714294,98.5509796,0.44068864,3.76717925,0.000138005,0.000680509,4.51E-07,0.001262729,0.572209179,0.00502756,0.030378062,0.014326675,0.00271124,0.000299571,19.2317619,0.11975655,0.037840419,0.42789185,0.005978381,0.001063365,0.232708186,0.046243396,0.001605191,19.2016773,1.22347641,2.16710854,0.503501892,-5.45655251,3.40930223,204.693161,213.388229,147.154831,28.6158428,2631.8728
357.142853,98.7188187,0.480990201,4.16559792,0.00014657,0.000309811,3.65E-07,0.00155843,0.655807257,0.003681562,0.036690716,0.013351757,0.003521764,6.47E-05,14.9307346,0.151073813,0.018633846,0.427396446,0.007889748,0.001393862,0.237376228,0.06417463,0.002104867,14.9095516,0.669890642,2.1729176,0.27745989,-3.17472076,3.48584652,201.250366,213.908768,146.34314,28.6704025,2677.52075
428.571442,98.6245422,0.535653293,3.72133923,0.000172354,0.000646908,2.99E-07,0.001668824,0.729069591,0.003206535,0.046994317,0.013527663,0.004643783,0.000130738,13.4092588,0.177923992,0.014574712,0.427055597,0.008804118,0.001584162,0.232188314,0.071960419,0.002272245,13.3941507,0.535198987,2.16976333,0.637100577,-1.89296532,2.97356367,205.587738,212.932816,147.172531,28.3503685,2644.42065
500,98.2976685,0.531072915,3.41825533,0.000193215,0.000739542,2.43E-07,0.001954599,0.841457665,0.003537274,0.054312248,0.01429403,0.006034852,0.000174373,11.005311,0.198660955,0.009904481,0.42695114,0.010391702,0.001900253,0.228717104,0.086295299,0.002600019,10.9919281,0.379348427,2.17218733,1.7200067,-0.214428842,2.63192344,222.904602,214.491653,146.486755,28.6252174,2693.11182
571.428589,98.2288742,0.659420013,3.00091505,0.000216207,0.000778478,2.03E-07,0.001816898,1.29006362,0.003204554,0.063272432,0.011939971,0.010346502,0.000109544,10.2899408,0.273960292,0.00893254,0.426870406,0.011002845,0.002075761,0.223993078,0.091783486,0.002680192,10.2772045,0.342680812,2.17768478,1.92148662,-1.41806412,1.30225945,215.493408,212.495102,145.599182,28.9780884,2757.4458
642.857117,97.5829544,0.587558746,2.51786566,0.0002648,0.00166468,1.74E-07,0.001755842,2.44192123,0.003023818,0.077584982,0.010155167,0.028761774,0.018618166,9.77981853,0.36551106,0.008353058,0.427024126,0.011499658,0.002306169,0.21864447,0.096313961,0.002723812,9.66121197,0.318834841,2.17849588,3.47463417,-1.50193429,1.47759438,198.298233,213.367599,145.19516,29.1693382,2801.07812
